date,open(ĸ),high(ĸ),low(ĸ),close(ĸ),amount(ĸ),vol(ĸ),open(A),high(A),low(A),close(A),amount(A),vol(A),open(B),high(B),low(B),close(B),amount(B),vol(B)
[20150817],[ 7.51000023],[ 7.57000017],[ 7.4000001],[ 7.57000017],[ 328724.],[440306],[ 9.06999969],[ 9.14999962],[ 9.06999969],[ 9.14999962],[ 605066.],[662550],[ 6.],[ 6.],[ 5.71000004],[ 5.92999983],[ 841264.],[1437450]
[20150818],[ 7.40999985],[ 7.57000017],[ 7.17999983],[ 7.30000019],[ 371932.],[499692],[ 9.14999962],[ 9.28999996],[ 9.13000011],[ 9.18000031],[ 1290172.],[1402526],[ 5.88000011],[ 5.98000002],[ 5.34000015],[ 5.34000015],[ 1247392.],[2224500]
[20150819],[ 7.28000021],[ 7.4000001],[ 7.05999994],[ 7.30000019],[ 490538.],[673192],[ 9.28999996],[ 9.35000038],[ 9.25],[ 9.26000023],[ 2883317.],[3101643],[ 5.21999979],[ 5.5999999],[ 5.0999999],[ 5.38000011],[ 799847.],[1512350]
[20150820],[ 7.11999989],[ 7.38000011],[ 7.11000013],[ 7.36999989],[ 325276.],[447100],[ 9.25],[ 9.38000011],[ 9.25],[ 9.38000011],[ 14802071.],[15907362],[ 5.01000023],[ 5.36999989],[ 5.01000023],[ 5.1500001],[ 537361.],[1030750]
[20150821],[ 6.96999979],[ 7.26000023],[ 6.96999979],[ 7.03999996],[ 454087.],[637838],[ 9.40999985],[ 9.44999981],[ 9.36999989],[ 9.42000008],[ 8325364.],[8847800],[ 5.],[ 5.0999999],[ 4.75],[ 4.75],[ 818251.],[1660526]
[20150824],[ 6.80000019],[ 7.57000017],[ 6.34000015],[ 6.34000015],[ 709368.],[1059538],[ 9.42000008],[ 9.77000046],[ 9.42000008],[ 9.73999977],[ 17548584.],[18316888],[ 4.30000019],[ 4.46000004],[ 4.28000021],[ 4.28000021],[ 892384.],[2077750]
[20150825],[ 5.94000006],[ 6.15999985],[ 5.71000004],[ 5.71000004],[ 1435877.],[2457200],[ 9.42000008],[ 9.73999977],[ 9.42000008],[ 9.68999958],[ 16062900.],[16609750],[ 3.8499999],[ 3.8499999],[ 3.8499999],[ 3.8499999],[ 122392.],[317900]
[20150827],[ 10.10000038],[ 10.80000019],[ 10.10000038],[ 10.76000023],[ 28130892.],[27326776],[ 9.15999985],[ 9.32999992],[ 9.02000046],[ 9.18000031],[ 4982917.],[5426652],[ 11.23999977],[ 11.23999977],[ 11.],[ 11.23999977],[ 4897060.],[4365894]
[20150828],[ 10.80000019],[ 11.02999973],[ 10.63000011],[ 10.98999977],[ 3266678.],[3014092],[ 9.18999958],[ 9.27000046],[ 9.11999989],[ 9.22999954],[ 2135105.],[2317908],[ 12.35999966],[ 12.35999966],[ 12.07999992],[ 12.35999966],[ 2361508.],[1918879]
[20150831],[ 10.88000011],[ 11.21000004],[ 10.60999966],[ 11.21000004],[ 2521911.],[2315729],[ 9.28999996],[ 9.43999958],[ 9.22999954],[ 9.43999958],[ 1727538.],[1848841],[ 12.61999989],[ 12.94999981],[ 11.61999989],[ 12.92000008],[ 1666254.],[1350739]
